state,raw_name,norm_name
CA,"HubSpot, Inc.",hubspot
CA,"Hunter Web Services, Inc",hunter web services
CA,"i360, LLC",i360
CA,IDMAP Inc,idmap
CA,"iLeads.com, LLC",ileads com
CA,Index Exchange Inc.,index exchange
CA,Infomatics LLC,infomatics
CA,Informa Group Limited,informa group
CA,"INFORMATION.COM, LLC",information com
CA,"Inmar Brand Solutions, Inc.",inmar brand solutions
CA,"Inmar-OIQ, LLC",inmar oiq
CA,"Innovative Database Solutions, Inc.",innovative database solutions
CA,Insightbridge LLC,insightbridge
CA,Institutional Shareholder Services Inc.,institutional shareholder services
CA,Intent IQ LLC,intent iq
CA,"Intentsify, LLC",intentsify
CA,"Interactive Data, LLC",interactive data
CA,iovation Inc.,iovation
CA,IQVIA Digital Inc.,iqvia digital
CA,"Irys, Inc",irys
CA,"iSpot.tv, Inc.",ispot tv
CA,IXI Corporation,ixi
CA,J.D. Power,j d power
CA,"Juicebox App, Inc.",juicebox app
CA,Kargo Global LLC,kargo global
CA,Keyword Connects LLC,keyword connects
CA,"Kloudend, Inc.",kloudend
CA,"Koddi, Inc",koddi
CA,L.S Mobile Apps Holdings LTD,l s mobile apps holdings
CA,"LeadIQ, Inc",leadiq
CA,LeadPost LLC,leadpost
CA,Leadspace Inc,leadspace
CA,"LearnMore, LLC",learnmore
CA,"Leidos Digital Solutions, Inc.",leidos digital solutions
CA,LexisNexis Risk Solutions FL Inc.,lexisnexis risk solutions fl
CA,ListKit LLC,listkit
CA,"Live Data Technologies, Inc.",live data technologies
CA,LiveIntent,liveintent
CA,"LiveRamp Holdings, Inc.",liveramp holdings
CA,"LizDev,Inc",lizdev
CA,"Lob.com, Inc.",lob com
CA,Lookify.io,lookify io
CA,"M1 Data & Analytics, LLC",m1 data analytics
CA,Magnite Inc,magnite
CA,Malvern Media Inc.,malvern media
CA,"Marketing Architects, Inc.",marketing architects
CA,MarketOps LLC,marketops
CA,"MarketShare Partners, LLC",marketshare partners
CA,"Marriott International, Inc.",marriott international
CA,"Matchbook Data, LLC",matchbook data
CA,"Media.net Advertising FZ, LLC",media net advertising fz
CA,MediaWallah Inc,mediawallah
CA,"Meltwater News US, Inc.",meltwater news us
CA,Merkle Inc.,merkle
CA,Message Digital LLC,message digital
CA,"MH Sub I, LLC",mh sub i
CA,Moody's Corporation,moody s
CA,"Narvar, Inc",narvar
CA,"National Opinion Institute, LLC",national opinion institute
CA,Neptune Ops LLC,neptune ops
CA,"Neustar Information Services, Inc.",neustar information services
CA,"NEUSTAR IP INTELLIGENCE, INC.",neustar ip intelligence
CA,New Mexico Data Insights,new mexico data insights
CA,Nexxen Inc,nexxen
CA,Nordic Data Resources AS,nordic data resources as
CA,NumLookup LLC.,numlookup
CA,Nuwber Inc,nuwber
CA,Ogury Ltd,ogury
CA,ONAUDIENCE LTD,onaudience
CA,"OpenX Technologies, Inc.",openx technologies
CA,"Outlogic, LLC",outlogic
CA,"PaeDae, Inc.",paedae
CA,People Data Labs,people data labs
CA,"Peoplewhiz, Inc",peoplewhiz
CA,"Pipl, Inc.",pipl
CA,PitchBook Data Inc,pitchbook data
CA,"Place Exchange, Inc.",place exchange
CA,"PMG Worldwide, LLC",pmg worldwide
CA,"PossibleNOW, Inc.",possiblenow
CA,"Postie, Inc",postie
CA,"PostPilot, Inc.",postpilot
CA,Preqin Ltd,preqin
CA,Private Records LLC,private records
CA,"PropertyRadar, Inc.",propertyradar
CA,ProspectBase UK Limited,prospectbase uk
CA,"PublicRecordCom, LLC",publicrecordcom
CA,Quadrant Global Pte. Ltd.,quadrant global pte
CA,Rainbarrel USA LLC,rainbarrel usa
CA,REAL INTENT INC,real intent
CA,Realeflow LLC,realeflow
CA,"RealSource, Inc",realsource
CA,RecruitBot,recruitbot
CA,Redi-Data Inc,redi data
CA,"RelPro, Inc.",relpro
CA,"Remodeling.com, LLC",remodeling com
CA,Resonate,resonate
CA,"Response America, Inc.",response america
CA,"RevContent, LLC",revcontent
CA,"Reveal Mobile, Inc.",reveal mobile
CA,"Revelio Labs, Inc.",revelio labs
CA,"RevOptimal, LLC",revoptimal
CA,Rich Media LLC,rich media
CA,Ripple Effect Strategies,ripple effect strategies
CA,RocketReach LLC,rocketreach
CA,Roq.ad Inc.,roq ad
CA,"Round Sky, Inc.",round sky
CA,"SalesIntel Research, Inc.",salesintel research
CA,Salutary Data LLC.,salutary data
CA,"Samba TV, Inc.",samba tv
CA,"SBFE, LLC",sbfe
CA,SEMANTIQ INC,semantiq
CA,"Semcasting, Inc.",semcasting
CA,"Share Local Media, Inc.",share local media
CA,Sharethrough,sharethrough
CA,Similarweb Ltd.,similarweb
CA,"Simio Cloud, LLC",simio cloud
CA,Site Impact LLC,site impact
CA,Skydeo Inc.,skydeo
CA,Snovio Inc,snovio
CA,Source Path Digital,source path digital
CA,"Sovrn, Inc.",sovrn
CA,"Sports Innovation Lab, inc.",sports innovation lab
CA,SpyCloud Inc.,spycloud
CA,Statara Solutions LLC,statara solutions
CA,"Steppingblocks, Inc.",steppingblocks
CA,Sterling Data Company LLC,sterling data company
CA,"Strategic Data Intelligence, LLC",strategic data intelligence
CA,"Subgraph, Inc",subgraph
CA,"Swarm Holdings, Inc.",swarm holdings
CA,Swoop.com Inc,swoop com
CA,"Taboola, Inc.",taboola
CA,Tapad,tapad
CA,TargetSmart Communications LLC,targetsmart communications
CA,Tauxbe Data Inc.,tauxbe data
CA,Teads Holding Co,teads holding
CA,Teads Inc,teads
CA,Telesign Corporation,telesign
CA,"The Data Group, LLC",the data group
CA,THE LINEA 1 MKT SL,the linea 1 mkt sl
CA,The People Searchers LLC,the people searchers
CA,"T-Mobile USA, Inc.",t mobile usa
